"filename", "language", "Markdown", "Java", "XML", "comment", "blank", "total"
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\README.md", "Markdown", 107, 0, 0, 0, 81, 188
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\pom.xml", "XML", 0, 0, 27, 0, 6, 33
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\basic_functionalities\basic_stuff.java", "Java", 0, 3, 0, 0, 5, 8
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\basic_functionalities\declaring_types.java", "Java", 0, 10, 0, 12, 5, 27
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\basic_functionalities\for_looops.java", "Java", 0, 18, 0, 1, 6, 25
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\basic_functionalities\getters_and_setters.java", "Java", 0, 36, 0, 21, 10, 67
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\basic_functionalities\how_to_methods.java", "Java", 0, 22, 0, 1, 17, 40
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\basic_functionalities\if_comparisons.java", "Java", 0, 41, 0, 3, 12, 56
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\basic_functionalities\input_output_scanner.java", "Java", 0, 59, 0, 14, 19, 92
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\basic_functionalities\lister.java", "Java", 0, 22, 0, 22, 15, 59
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\basic_functionalities\switchh.java", "Java", 0, 31, 0, 0, 3, 34
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\main_folder_code\Main.java", "Java", 0, 17, 0, 3, 9, 29
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\medium_functionalities\hashmap.java", "Java", 0, 41, 0, 13, 17, 71
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\medium_functionalities\how_import_works.java", "Java", 0, 13, 0, 11, 7, 31
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\medium_functionalities\private_public_explained.java", "Java", 0, 7, 0, 13, 7, 27
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\medium_functionalities\return_methods.java", "Java", 0, 54, 0, 2, 14, 70
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\medium_functionalities\try_and_catch_throw.java", "Java", 0, 35, 0, 24, 14, 73
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\mock_import_package\methods_to_import.java", "Java", 0, 26, 0, 0, 9, 35
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\mock_import_package\person.java", "Java", 0, 15, 0, 1, 5, 21
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\mock_import_package\varibles_to_import.java", "Java", 0, 8, 0, 5, 7, 20
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\main\java\validation_classes\email_validation.java", "Java", 0, 21, 0, 3, 5, 29
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\test\java\package_1\class_1Test.java", "Java", 0, 26, 0, 10, 13, 49
"c:\Users\carlhejlesen\Documents\GitHub\Java_include_all_posible_things\java_understanding\m\src\test\java\validation_classes\email_validationTest.java", "Java", 0, 40, 0, 6, 19, 65
"Total", "-", 107, 545, 27, 165, 305, 1149
